SSIC2015,SECTOR,INDUSTRY,SUBINDUSTRY
01,Primary,Primary Industries,Agriculture
02,Primary,Primary Industries,Forestry
03,Primary,Primary Industries,Aquaculture
08,Primary,Primary Industries,Mining
09,Primary,Primary Industries,Oil & Gas
10,Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco"
11,Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco"
12,Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco"
13,Manufacturing,General Manufacturing Industries,Miscellaneous Industries
14,Manufacturing,General Manufacturing Industries,Miscellaneous Industries
15,Manufacturing,General Manufacturing Industries,Miscellaneous Industries
16,Manufacturing,General Manufacturing Industries,Miscellaneous Industries
17,Manufacturing,General Manufacturing Industries,Miscellaneous Industries
18,Manufacturing,General Manufacturing Industries,Printing & Recorded Media
19,Manufacturing,Chemicals,Petroleum
20,Manufacturing,Chemicals,Petrochemicals
21,Manufacturing,Biomedical Sciences,Pharmaceuticals
22,Manufacturing,General Manufacturing Industries,Miscellaneous Industries
23,Manufacturing,Chemicals,Other Chemicals
24,Manufacturing,General Manufacturing Industries,Miscellaneous Industries
25,Manufacturing,Precision Engineering (CMA),Machinery & Systems
26,Manufacturing,Biomedical Sciences,Medical Technology
27,Manufacturing,Precision Engineering (CMA),Precision Modules & Components
28,Manufacturing,Precision Engineering (ITM subsectors),Other PE Activities
29,Manufacturing,Transport Engineering,Land
30,Manufacturing,Transport Engineering,Marine & Offshore Engineering
31,Manufacturing,General Manufacturing Industries,Miscellaneous Industries
32,Manufacturing,General Manufacturing Industries,Miscellaneous Industries
35,Services,Utility Services,Utility Services
36,Services,Utility Services,Utility Services
37,Services,Utility Services,Utility Services
38,Services,Construction,Construction
41,Services,Construction,Construction
42,Services,Construction,Construction
43,Services,Construction,Construction
46,Services,Trade,Wholesale Trade
47,Services,Trade,Retail Trade
49,Services,Logistics,Logistics
50,Services,Logistics,Logistics
51,Services,Logistics,Logistics
52,Services,Logistics,Logistics
53,Services,Logistics,Logistics
55,Services,General Services,Accommodation
56,Services,Food & Beverage,Food & Beverage
58,Services,Infocomm Media,Media & Digital Entertainment
59,Services,Infocomm Media,Media & Digital Entertainment
60,Services,Infocomm Media,Media & Digital Entertainment
61,Services,Infocomm Media,Media & Digital Entertainment
62,Services,Infocomm Media,Software & ICT
63,Services,Infocomm Media,Software & ICT
64,Services,Financial Services,Other Financial Services
65,Services,Financial Services,Insurance
66,Services,Financial Services,Other Financial Services
68,Services,Financial Services,Real Estate
69,Services,Professional Services,Accounting
70,Services,Professional Services,Consulting
71,Services,Professional Services,Architecture & Engineering Services
72,Services,Professional Services,Other Professional Services
73,Services,Professional Services,Advertising
74,Services,Professional Services,Design
75,Services,Professional Services,Other Professional Services
77,Services,Commercialisation,Commercialisation
78,Services,General Services,Miscellaneous Services
79,Services,General Services,Miscellaneous Services
80,Services,General Services,Security
81,Services,Utility Services,Utility Services
82,Services,Public Administration,Public Administration
84,Services,Public Administration,Public Administration
85,Services,Private Education,Private Education
86,Services,Social Services,Health Services
87,Services,Social Services,Health Services
88,Services,Social Services,Other Social Services
90,Services,General Services,Miscellaneous Services
91,Services,Social Services,Other Social Services
92,Services,General Services,Gambling
93,Services,General Services,Sports
94,Services,General Services,Miscellaneous Services
95,Services,General Services,Miscellaneous Services
96,Services,General Services,Miscellaneous Services
97,Services,General Services,Miscellaneous Services
99,Services,General Services,Miscellaneous Services
00,Services,General Services,Miscellaneous Services
