sector,industry,subindustry,ssic2010,ssic2015
Manufacturing,Electronics,Semiconductors,26111,26111
Manufacturing,Electronics,Semiconductors,26112,26112
Manufacturing,Electronics,Semiconductors,26113,26113
Manufacturing,Electronics,Semiconductors,26114,26114
Manufacturing,Electronics,Semiconductors,26115,26115
Manufacturing,Electronics,Semiconductors,26119,26119
Manufacturing,Electronics,Computer Peripherals,26124,26124
Manufacturing,Electronics,Computer Peripherals,26125,
Manufacturing,Electronics,Computer Peripherals,26204,26203
Manufacturing,Electronics,Data Storage,26202,26202
Manufacturing,Electronics,Data Storage,26203,26202
Manufacturing,Electronics,Data Storage,26801,26801
Manufacturing,Electronics,Infocomms & Consumer Electronics,26201,26201
Manufacturing,Electronics,Infocomms & Consumer Electronics,26205,26204
Manufacturing,Electronics,Infocomms & Consumer Electronics,26209,26209
Manufacturing,Electronics,Infocomms & Consumer Electronics,26301,26301
Manufacturing,Electronics,Infocomms & Consumer Electronics,26302,26302
Manufacturing,Electronics,Infocomms & Consumer Electronics,26303,26303
Manufacturing,Electronics,Infocomms & Consumer Electronics,26304,26304
Manufacturing,Electronics,Infocomms & Consumer Electronics,26309,26309
Manufacturing,Electronics,Infocomms & Consumer Electronics,26401,26400
Manufacturing,Electronics,Infocomms & Consumer Electronics,26402,
Manufacturing,Electronics,Infocomms & Consumer Electronics,26403,
Manufacturing,Electronics,Infocomms & Consumer Electronics,26409,
Manufacturing,Electronics,Electronic Modules & Components,26121,26121
Manufacturing,Electronics,Electronic Modules & Components,26122,26122
Manufacturing,Electronics,Electronic Modules & Components,26123,26123
Manufacturing,Electronics,Electronic Modules & Components,26126,26125
Manufacturing,Electronics,Electronic Modules & Components,26127,26126
Manufacturing,Electronics,Electronic Modules & Components,26129,26129
Manufacturing,Chemicals,Petroleum,19100,19100
Manufacturing,Chemicals,Petroleum,19201,19201
Manufacturing,Chemicals,Petroleum,19202,19202
Manufacturing,Chemicals,Petroleum,19209,19209
Manufacturing,Chemicals,Petrochemicals,20131,20131
Manufacturing,Chemicals,Petrochemicals,20132,20132
Manufacturing,Chemicals,Petrochemicals,20133,20133
Manufacturing,Chemicals,Petrochemicals,20139,
Manufacturing,Chemicals,Specialties,20111,20111
Manufacturing,Chemicals,Specialties,20112,20112
Manufacturing,Chemicals,Specialties,20113,20113
Manufacturing,Chemicals,Specialties,20114,20114
Manufacturing,Chemicals,Specialties,20119,20119
Manufacturing,Chemicals,Specialties,20120,20120
Manufacturing,Chemicals,Specialties,20210,20210
Manufacturing,Chemicals,Specialties,20221,20221
Manufacturing,Chemicals,Specialties,20222,20222
Manufacturing,Chemicals,Specialties,20229,20229
Manufacturing,Chemicals,Specialties,20241,20241
Manufacturing,Chemicals,Specialties,20242,20242
Manufacturing,Chemicals,Specialties,20243,
Manufacturing,Chemicals,Specialties,20249,20249
Manufacturing,Chemicals,Specialties,20291,20291
Manufacturing,Chemicals,Specialties,20292,20292
